nombre,precio
Panetón_0,2
Panetón_1,5
Ceviche_2,2
Chocolate_3,1
Chocolate_4,3
Ceviche_5,5
Chocolate_6,4
Panetón_7,4
Empanada_8,6
Ceviche_9,3
Chocolate_10,3
Flan_11,4
Panetón_12,4
Chocolate_13,3
Panetón_14,5
Chocolate_15,1
Chocolate_16,1
Flan_17,3
Ceviche_18,2
Panetón_19,5
Panetón_20,3
Empanada_21,5
Chocolate_22,4
Empanada_23,6
Panetón_24,4
Chocolate_25,2
Flan_26,4
Flan_27,4
Empanada_28,3
Ceviche_29,2
Empanada_30,4
Chocolate_31,2
Ceviche_32,5
Panetón_33,4
Panetón_34,4
Empanada_35,3
Flan_36,4
Flan_37,3
Empanada_38,3
Panetón_39,3
Panetón_40,4
Panetón_41,4
Panetón_42,5
Empanada_43,5
Ceviche_44,5
Flan_45,5
Ceviche_46,5
Panetón_47,4
Empanada_48,4
Flan_49,2
Chocolate_50,3
Empanada_51,5
Empanada_52,6
Panetón_53,2
Chocolate_54,2
Ceviche_55,5
Ceviche_56,2
Flan_57,2
Flan_58,5
Flan_59,2
Ceviche_60,5
Chocolate_61,1
Ceviche_62,2
Flan_63,4
Panetón_64,4
Ceviche_65,2
Flan_66,4
Empanada_67,6
Panetón_68,2
Empanada_69,4
Empanada_70,6
Ceviche_71,5
Panetón_72,2
Chocolate_73,2
Flan_74,5
Chocolate_75,3
Ceviche_76,5
Empanada_77,5
Chocolate_78,4
Chocolate_79,4
Flan_80,2
Flan_81,4
Chocolate_82,1
Panetón_83,3
Empanada_84,5
Ceviche_85,3
Flan_86,5
Panetón_87,5
Panetón_88,5
Empanada_89,6
Empanada_90,6
Empanada_91,5
Chocolate_92,1
Ceviche_93,3
Panetón_94,2
Ceviche_95,2
Panetón_96,5
Panetón_97,3
Panetón_98,3
Flan_99,2
Chocolate_100,1
Panetón_101,4
Panetón_102,5
Chocolate_103,3
Chocolate_104,3
Flan_105,4
Flan_106,3
Chocolate_107,3
Empanada_108,6
Chocolate_109,2
Flan_110,2
Panetón_111,2
Chocolate_112,1
Panetón_113,3
Flan_114,5
Chocolate_115,3
Flan_116,2
Empanada_117,3
Flan_118,2
Panetón_119,3
Flan_120,3
Ceviche_121,2
Flan_122,4
Ceviche_123,5
Panetón_124,4
Empanada_125,3
Flan_126,4
Chocolate_127,4
Panetón_128,3
Ceviche_129,2
Empanada_130,4
Ceviche_131,2
Ceviche_132,3
Empanada_133,5
Chocolate_134,4
Panetón_135,5
Empanada_136,4
Panetón_137,4
Empanada_138,6
Ceviche_139,4
Panetón_140,4
Chocolate_141,2
Panetón_142,4
Flan_143,2
Panetón_144,3
Chocolate_145,1
Empanada_146,5
Flan_147,5
Ceviche_148,2
Panetón_149,5
Empanada_150,4
Flan_151,5
Empanada_152,4
Ceviche_153,2
Empanada_154,3
Ceviche_155,5
Empanada_156,6
Ceviche_157,2
Panetón_158,3
Flan_159,3
Ceviche_160,3
Ceviche_161,2
Chocolate_162,2
Ceviche_163,2
Flan_164,2
Empanada_165,5
Ceviche_166,5
Chocolate_167,3
Chocolate_168,3
Panetón_169,2
Chocolate_170,2
Chocolate_171,2
Flan_172,4
Ceviche_173,4
Panetón_174,2
Chocolate_175,1
Empanada_176,5
Panetón_177,3
Flan_178,3
Empanada_179,5
Empanada_180,4
Empanada_181,5
Chocolate_182,3
Ceviche_183,2
Flan_184,2
Ceviche_185,5
Panetón_186,4
Chocolate_187,3
Empanada_188,4
Empanada_189,5
Ceviche_190,3
Panetón_191,2
Ceviche_192,2
Flan_193,2
Panetón_194,5
Panetón_195,5
Empanada_196,6
Chocolate_197,3
Panetón_198,3
Empanada_199,5
Chocolate_200,1
Chocolate_201,3
Chocolate_202,1
Empanada_203,4
Empanada_204,4
Ceviche_205,2
Empanada_206,3
Ceviche_207,5
Ceviche_208,3
Panetón_209,5
Ceviche_210,4
Empanada_211,3
Empanada_212,5
Panetón_213,2
Chocolate_214,3
Empanada_215,5
Panetón_216,4
Flan_217,3
Chocolate_218,4
Flan_219,2
Panetón_220,5
Empanada_221,3
Ceviche_222,3
Ceviche_223,2
Empanada_224,4
Ceviche_225,5
Panetón_226,2
Flan_227,5
Chocolate_228,4
Chocolate_229,1
Empanada_230,3
Empanada_231,6
Chocolate_232,2
Ceviche_233,3
Flan_234,3
Chocolate_235,3
Ceviche_236,2
Chocolate_237,2
Panetón_238,2
Chocolate_239,4
Chocolate_240,4
Ceviche_241,3
Ceviche_242,3
Panetón_243,2
