nombre,precio
Ceviche_0,2
Chocolate_1,2
Empanada_2,8
Empanada_3,7
Ceviche_4,2
Empanada_5,1
Empanada_6,7
Flan_7,1
Empanada_8,5
Ceviche_9,2
Chocolate_10,1
Panetón_11,1
Flan_12,1
Empanada_13,4
Empanada_14,1
Flan_15,4
Empanada_16,8
Flan_17,4
Chocolate_18,4
Ceviche_19,8
Chocolate_20,1
Empanada_21,9
Panetón_22,3
Chocolate_23,2
Chocolate_24,9
Empanada_25,9
Ceviche_26,5
Chocolate_27,8
Flan_28,7
Flan_29,1
Empanada_30,4
Empanada_31,7
Ceviche_32,6
Flan_33,6
Panetón_34,8
Flan_35,2
Ceviche_36,9
Empanada_37,6
Empanada_38,1
Empanada_39,1
Chocolate_40,7
Ceviche_41,3
Flan_42,4
Panetón_43,4
Flan_44,9
Ceviche_45,7
Flan_46,6
Flan_47,6
Empanada_48,5
Flan_49,1
Empanada_50,9
Ceviche_51,9
Flan_52,4
Empanada_53,1
Empanada_54,6
Flan_55,9
Ceviche_56,9
Empanada_57,8
Chocolate_58,7
Chocolate_59,1
Flan_60,9
Flan_61,6
Empanada_62,1
Ceviche_63,3
Flan_64,3
Panetón_65,9
Chocolate_66,1
Panetón_67,2
Panetón_68,8
Panetón_69,5
Ceviche_70,5
Panetón_71,3
Chocolate_72,5
Panetón_73,3
Ceviche_74,5
Flan_75,3
Chocolate_76,5
Empanada_77,6
Empanada_78,8
Panetón_79,1
Chocolate_80,7
Chocolate_81,7
Ceviche_82,5
Panetón_83,5
Flan_84,4
Flan_85,7
Panetón_86,4
Panetón_87,7
Ceviche_88,1
Ceviche_89,8
Flan_90,7
Flan_91,4
Flan_92,8
Ceviche_93,9
Panetón_94,7
Flan_95,6
Empanada_96,1
Chocolate_97,3
Ceviche_98,1
Chocolate_99,2
Panetón_100,5
Chocolate_101,3
Empanada_102,5
Ceviche_103,1
Flan_104,1
Flan_105,4
Flan_106,8
Ceviche_107,9
Panetón_108,7
Ceviche_109,6
Panetón_110,4
Flan_111,7
Flan_112,4
Empanada_113,2
Empanada_114,5
Flan_115,8
Panetón_116,6
Flan_117,7
Chocolate_118,1
Ceviche_119,4
Chocolate_120,3
Chocolate_121,7
Ceviche_122,5
Panetón_123,7
Flan_124,6
Flan_125,8
Flan_126,4
Panetón_127,1
Panetón_128,3
Ceviche_129,3
Flan_130,4
Chocolate_131,6
Flan_132,9
Chocolate_133,6
Chocolate_134,6
Panetón_135,5
Ceviche_136,8
Ceviche_137,9
Panetón_138,6
Panetón_139,7
Panetón_140,7
Ceviche_141,3
Chocolate_142,2
Flan_143,7
Panetón_144,9
Ceviche_145,2
Chocolate_146,6
Chocolate_147,9
Panetón_148,8
Chocolate_149,2
Panetón_150,5
Panetón_151,1
Panetón_152,7
Panetón_153,1
Ceviche_154,4
Flan_155,7
Ceviche_156,2
Empanada_157,3
Ceviche_158,3
Panetón_159,7
Empanada_160,9
Chocolate_161,9
Chocolate_162,8
Chocolate_163,2
Ceviche_164,6
Panetón_165,1
Panetón_166,5
Flan_167,6
Empanada_168,7
Chocolate_169,7
Panetón_170,2
Chocolate_171,8
Panetón_172,5
Ceviche_173,9
Empanada_174,6
Chocolate_175,3
Flan_176,4
Chocolate_177,4
Ceviche_178,6
Panetón_179,5
Panetón_180,8
Panetón_181,6
Ceviche_182,7
Chocolate_183,1
Chocolate_184,3
Chocolate_185,5
Ceviche_186,6
Panetón_187,9
Flan_188,2
Ceviche_189,4
Panetón_190,4
Empanada_191,2
Chocolate_192,9
Panetón_193,2
Panetón_194,1
Chocolate_195,6
Empanada_196,8
Ceviche_197,2
Flan_198,6
Panetón_199,9
Ceviche_200,3
Ceviche_201,3
Chocolate_202,5
Panetón_203,9
Flan_204,5
Ceviche_205,4
Ceviche_206,9
Panetón_207,6
Flan_208,9
Ceviche_209,3
Chocolate_210,7
Flan_211,3
Panetón_212,4
Chocolate_213,2
Empanada_214,7
Flan_215,5
Flan_216,8
Flan_217,8
Panetón_218,7
Chocolate_219,3
Chocolate_220,8
Panetón_221,7
Flan_222,1
Panetón_223,6
Flan_224,3
Flan_225,3
Ceviche_226,5
Chocolate_227,7
Flan_228,7
Ceviche_229,2
Ceviche_230,8
Panetón_231,3
Flan_232,6
Flan_233,8
Ceviche_234,4
Chocolate_235,8
Empanada_236,4
Empanada_237,6
Flan_238,5
Ceviche_239,1
Panetón_240,9
Chocolate_241,3
Flan_242,4
Chocolate_243,5
Chocolate_244,9
Chocolate_245,3
Empanada_246,2
Panetón_247,9
Flan_248,7
Ceviche_249,3
Chocolate_250,7
Ceviche_251,1
Empanada_252,7
Chocolate_253,7
Flan_254,3
Flan_255,1
Flan_256,2
Chocolate_257,2
Chocolate_258,2
Ceviche_259,2
Empanada_260,4
Empanada_261,7
Empanada_262,3
Chocolate_263,8
Ceviche_264,8
Ceviche_265,2
Empanada_266,9
Empanada_267,2
Chocolate_268,5
Ceviche_269,7
Flan_270,1
Ceviche_271,9
Empanada_272,1
Panetón_273,4
Chocolate_274,4
Ceviche_275,5
Ceviche_276,9
Ceviche_277,5
Chocolate_278,5
Empanada_279,3
Flan_280,6
Empanada_281,7
Panetón_282,4
Flan_283,7
Ceviche_284,5
Panetón_285,1
Panetón_286,1
Flan_287,5
Ceviche_288,2
Flan_289,6
Flan_290,5
Empanada_291,9
Chocolate_292,9
Chocolate_293,1
Panetón_294,8
Empanada_295,6
Chocolate_296,9
Empanada_297,6
Flan_298,8
Panetón_299,7
Empanada_300,4
Flan_301,1
Chocolate_302,9
Ceviche_303,8
Flan_304,9
Empanada_305,5
Ceviche_306,8
Flan_307,9
Ceviche_308,6
Flan_309,1
Empanada_310,7
Empanada_311,6
Flan_312,2
Empanada_313,4
Chocolate_314,1
Empanada_315,3
Empanada_316,5
Ceviche_317,2
Flan_318,1
Chocolate_319,5
Empanada_320,9
Chocolate_321,3
Empanada_322,5
Empanada_323,3
Empanada_324,9
Panetón_325,5
Flan_326,2
Flan_327,7
Panetón_328,6
Panetón_329,8
Panetón_330,3
Flan_331,3
Panetón_332,7
Chocolate_333,5
Ceviche_334,9
Ceviche_335,4
Chocolate_336,5
Panetón_337,2
Flan_338,6
Empanada_339,9
Flan_340,1
Ceviche_341,5
Flan_342,5
Chocolate_343,4
Empanada_344,9
Empanada_345,3
Empanada_346,5
Flan_347,6
Ceviche_348,5
Flan_349,4
Panetón_350,7
Chocolate_351,7
Ceviche_352,5
Ceviche_353,2
Ceviche_354,8
Flan_355,3
Flan_356,5
Empanada_357,9
Ceviche_358,3
Ceviche_359,8
Chocolate_360,5
Empanada_361,4
Panetón_362,4
Chocolate_363,2
Panetón_364,4
Empanada_365,6
Empanada_366,2
Ceviche_367,1
Panetón_368,1
Ceviche_369,1
Empanada_370,9
Flan_371,8
Chocolate_372,5
Panetón_373,3
Panetón_374,4
Empanada_375,4
Empanada_376,8
Empanada_377,3
Ceviche_378,4
Chocolate_379,8
Flan_380,7
Ceviche_381,8
Chocolate_382,6
Empanada_383,2
Ceviche_384,2
Panetón_385,1
Panetón_386,8
Chocolate_387,7
Flan_388,5
Ceviche_389,7
Ceviche_390,3
Panetón_391,1
Empanada_392,3
Flan_393,1
Flan_394,7
Chocolate_395,3
Panetón_396,8
Chocolate_397,1
Panetón_398,9
Panetón_399,9
Ceviche_400,1
Chocolate_401,2
Empanada_402,2
Ceviche_403,1
Empanada_404,3
Chocolate_405,4
Empanada_406,7
Chocolate_407,5
Chocolate_408,4
Ceviche_409,1
Flan_410,3
Chocolate_411,7
Flan_412,9
Flan_413,1
Chocolate_414,9
Empanada_415,9
Ceviche_416,9
Empanada_417,2
Chocolate_418,2
Chocolate_419,3
Panetón_420,3
Panetón_421,4
Empanada_422,1
Panetón_423,2
Flan_424,8
Flan_425,6
Panetón_426,6
Panetón_427,3
Flan_428,1
Empanada_429,3
Empanada_430,8
Panetón_431,9
Chocolate_432,2
Chocolate_433,6
Panetón_434,5
Panetón_435,7
Panetón_436,5
Chocolate_437,3
Chocolate_438,7
Panetón_439,5
Panetón_440,7
Ceviche_441,9
Flan_442,4
Chocolate_443,6
Flan_444,7
Flan_445,8
Panetón_446,3
Empanada_447,9
Flan_448,9
Flan_449,1
Chocolate_450,3
Ceviche_451,6
Empanada_452,9
Chocolate_453,2
Empanada_454,6
Ceviche_455,2
Panetón_456,5
Flan_457,6
Empanada_458,5
Chocolate_459,6
Chocolate_460,6
Flan_461,9
Panetón_462,9
Panetón_463,3
Chocolate_464,6
Chocolate_465,2
Empanada_466,5
Empanada_467,8
Chocolate_468,7
Panetón_469,1
Ceviche_470,1
Flan_471,8
Flan_472,5
Ceviche_473,6
Chocolate_474,6
Empanada_475,5
Empanada_476,6
Flan_477,9
Ceviche_478,1
Ceviche_479,5
Ceviche_480,3
Panetón_481,3
Empanada_482,1
Panetón_483,9
Chocolate_484,2
Ceviche_485,5
Panetón_486,9
Panetón_487,2
Ceviche_488,3
Flan_489,7
Panetón_490,6
Empanada_491,5
Ceviche_492,4
Flan_493,8
Ceviche_494,7
Empanada_495,6
Flan_496,4
Empanada_497,2
Chocolate_498,7
Ceviche_499,1
Flan_500,7
Flan_501,8
Panetón_502,7
Flan_503,9
Flan_504,7
Panetón_505,6
Empanada_506,1
Ceviche_507,5
Panetón_508,9
Panetón_509,5
Flan_510,6
Flan_511,9
Chocolate_512,9
Empanada_513,9
Flan_514,7
Flan_515,5
Empanada_516,5
Ceviche_517,9
Empanada_518,3
Flan_519,3
Chocolate_520,1
Empanada_521,1
Chocolate_522,7
